Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),,MAF,km3,,
Saddle Dike No. 1 - Jocassee                                     ,,,SC00529,S001,SC00529S001,Duke Energy,Public Utility,Public Utility,4,Yes,,No,Hydroelectric,Hydroelectric,Federal Energy Regulatory Commission,02503-02-02,34.9533,-82.9289,South Carolina,Oconee,"Clemson, SC                                       ",20,Keowee                        ,"South Carolina, Congressional District 03",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,35,35,35,35,25-50 feet,825,,1973,1970-1979,,1160298,1160298,1160298,7565,,,,,
Jocassee                                                         ,Main Dam,,SC00529,,SC00529,Duke Energy,Public Utility,Public Utility,4,No,,No,Hydroelectric,Hydroelectric,Federal Energy Regulatory Commission,02503-02-01,34.9606,-82.9183,South Carolina,Pickens,"Clemson, SC                                       ",20,Keowee                        ,"South Carolina, Congressional District 03",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Rockfill,Rockfill,Earth,Rock;Soil,385,385,385,385,Greater than 100 feet,1800,,1973,1970-1979,,1160298,1160298,1160298,7565,,,,,
Albeni Falls Dam,Pend Oreille Lake,,ID00319,,ID00319,USACE - Seattle District,Federal,Federal,0,No,CE,No,Hydroelectric,Hydroelectric;Navigation;Recreation;Flood Risk Reduction,US Army Corps of Engineers,ID00319,48.17958153,-116.999649,Idaho,Bonner,NEWPORT,2,PEND OREILLE RIVER,"Idaho, Congressional District 01",Yes,Yes,,Yes,Yes,Yes,Yes,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers,,,Concrete,Concrete;Gravity,,,,90,180,180,Greater than 100 feet,1055,0,1955,1950-1959,,1155000,1155000,1153000,94600,,,,,
Smith Mountain Combination Pump Storage                          ,,,VA019002,,VA019002,Appalachian Power Company,Public Utility,Public Utility,1,No,,No,Hydroelectric,Hydroelectric,Federal Energy Regulatory Commission,02210-02-01,37.041243,-79.535973,Virginia,Pittsylvania,Altavista                                         ,26,Roanoke                       ,"Virginia, Congressional District 05",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Arch,Arch;Concrete,Concrete,Rock,229,205,237,237,Greater than 100 feet,816,,1964,1960-1969,,1150000,1150000,1150000,20400,,,,,
Milford Dam,Milford Lake,,KS00008,,KS00008,USACE - Kansas City District,Federal,Federal,0,No,,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation;Water Supply,US Army Corps of Engineers,KS00008,39.083328,-96.894997,Kansas,Geary,JUNCTION CITY,,REPUBLICAN RIVER,"Kansas, Congressional District 02",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Rockfill,Rockfill;Earth,Earth,Soil,,147,126,147,Greater than 100 feet,6300,15000000,1967,1960-1969,,1145000,1145000,388800,15708,,,,,
Lake Almanor,Canyon,,CA00327,,CA00327,Pacific Gas and Electric Company,Private,Private,1,No,,No,Hydroelectric,Hydroelectric,Federal Energy Regulatory Commission,02105-01-01,40.175537,-121.08979,California,Plumas,Seneca,5,North Fork Feather River      ,"California, Congressional District 03",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,,,90,90,135,135,Greater than 100 feet,1750,1533000,1927,1920-1929,,1142964,1142964,1140000,27064,,,,,
Robert Lee Dam,,,TX03517,,TX03517,COLORADO RIVER MUNICIPAL WATER DISTRICT,Local Government,Local Government,0,No,FREESE AND NICHOLS,No,Water Supply,Water Supply;Recreation,Texas,TX03517,31.896285,-100.516128,Texas,Coke,ROBERT LEE,1,COLORADO RIVER,"Texas, Congressional District 11",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,140,139,140,140,Greater than 100 feet,18300,41082000,1969,1960-1969,,1139200,1139200,517272,15100,,,,,
Wappapello Dam - Saddle Dike 1,,Wappapello Dam - Saddle Dam 1,MO30204,S001,MO30204S001,USACE - St. Louis District,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,US Army Corps of Engineers,MO30204S001,36.939774,-90.277463,Missouri,Wayne,WAPPAPELLO,1,ST. FRANCIS,"Missouri, Congressional District 08",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,,,13,103,114,114,Greater than 100 feet,380,2710000,1941,1940-1949,,1134600,1134600,613200,23200,,,,,
Wappapello Dam - Saddle Dike 2,,Wappapello Dam - Saddle Dam 2,MO30204,S002,MO30204S002,USACE - St. Louis District,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,US Army Corps of Engineers,MO30204S002,36.940799,-90.274684,Missouri,Wayne,WAPPAPELLO,1,ST. FRANCIS,"Missouri, Congressional District 08",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,,,13,103,114,114,Greater than 100 feet,465,2710000,1941,1940-1949,,1134600,1134600,613200,23200,,,,,
Wappapello Dam - Saddle Dike 3,,Wappapello Dam - Saddle Dam 3,MO30204,S003,MO30204S003,USACE - St. Louis District,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,US Army Corps of Engineers,MO30204S003,36.943427,-90.27251,Missouri,Wayne,WAPPAPELLO,1,ST. FRANCIS,"Missouri, Congressional District 08",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,,,14,103,114,114,Greater than 100 feet,815,2710000,1941,1940-1949,,1134600,1134600,613200,23200,,,,,
Wappapello Dam,Wappapello Lake,,MO30204,,MO30204,USACE - St. Louis District,Federal,Federal,3,No,CEMVS,No,Flood Risk Reduction,Flood Risk Reduction;Other;Fish and Wildlife Pond;Recreation,US Army Corps of Engineers,MO30204,36.93126768,-90.28052776,Missouri,Wayne,WAPPAPELLO,1,ST. FRANCIS RIVER,"Missouri, Congressional District 08",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth;Concrete;Gravity,Earth,Rock,109,103,114,114,Greater than 100 feet,2700,2710000,1941,1940-1949,,1134600,1134600,613200,23200,,,,,
Glen Elder -Cawker City Dike,,,KS00018,S001,KS00021S001,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction,Bureau of Reclamation,,39.4978,-98.4257,Kansas,Mitchell,CAWKER CITY,1,,"Kansas, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,52,42,52,52,51-100 feet,15600,0,1969,1960-1969,,1128740,1128740,241460,13500,,,,,
Glen Elder -Downs Protective Dike,,,KS00020,S002,KS00021S002,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction,Bureau of Reclamation,,39.4961,-98.5347,Kansas,Osborne,DOWNS,1,,"Kansas, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,85,41,85,85,51-100 feet,14650,0,1969,1960-1969,,1128740,1128740,241460,13500,,,,,
Glen Elder,,,KS00021,,KS00021,RECLAMATION,Federal,Federal,2,No,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Water Supply,Bureau of Reclamation,,39.4964,-98.3156,Kansas,Mitchell,GLEN ELDER,1,SOLOMAN RIVER,"Kansas, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,142,115,142,142,Greater than 100 feet,15275,10025760,1968,1960-1969,,1128740,1128740,241460,13500,,,,,
Soldier Creek,,,UT10135,,UT10135,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Irrigation,Irrigation,Bureau of Reclamation,,40.1369,-111.0262,Utah,Wasatch,DUCHESNE,44,STRAWBERRY RIVER,"Utah, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,,,,243,251,251,Greater than 100 feet,1290,3206000,1973,1970-1979,1985,1127610,1127610,1105910,17163,,,,,
Folsom Left Wing,,,CA10148,S010,CA10148S010,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7058,-121.1525,California,Sacramento,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,145,140,145,145,Greater than 100 feet,2100,3905000,1955,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Right Wing,,,CA10148,S011,CA10148S011,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7102,-121.1637,California,Sacramento,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,145,140,145,145,Greater than 100 feet,6700,3905000,1955,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 8,,,CA10148,S008,CA10148S008,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.6933,-121.133,California,Sacramento,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,15,10,15,15,Less than 25 feet,740,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 5,,,CA10148,S005,CA10148S005,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7296,-121.1706,California,Placer,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,100,95,100,100,51-100 feet,1915,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 2,,,CA10148,S002,CA10148S002,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7554543,-121.1490806,California,Placer,HIDDEN VALLEY,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,15,10,15,15,Less than 25 feet,1800,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 3,,,CA10148,S003,CA10148S003,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.75062268,-121.1493341,California,Placer,HIDDEN VALLEY,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,10,5,10,10,Less than 25 feet,1395,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 4,,,CA10148,S004,CA10148S004,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7336,-121.1641,California,Placer,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,30,25,30,30,25-50 feet,1450,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 1,,,CA10148,S001,CA10148S001,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7625,-121.1469,California,Placer,HIDDEN VALLEY,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,25,20,25,25,25-50 feet,2060,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom - Mormon Island Auxiliary Dam,,,CA10148,S009,CA10148S009,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.6997,-121.1169,California,Sacramento,FOLSOM,2,BLUE RAVINE,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,110,105,110,110,Greater than 100 feet,4820,3820000,1955,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 6,,,CA10148,S006,CA10148S006,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.7231,-121.171,California,Placer,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,40,35,40,40,25-50 feet,1460,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Folsom Dike 7,,,CA10148,S007,CA10148S007,RECLAMATION,Federal,Federal,0,Yes,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,38.6953,-121.1421,California,Sacramento,FOLSOM,1,AMERICAN RIVER,"California, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,35,30,35,35,25-50 feet,890,0,1956,1950-1959,,1120000,1120000,1010000,11180,,,,,
Glendo Dike No. 3,,,WY01487,S003,WY01291S003,RECLAMATION,Federal,Federal,0,Yes,I.J. MATTHEWS,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Hydroelectric,Bureau of Reclamation,,42.471,-104.986,Wyoming,Platte,"CASSO, GUERNSEY",17,NORTH PLATTE RIVER OFFSTREAM,"Wyoming, Congressional District 00",Yes,Yes,SEO,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Earth,Rock;Soil,75,61,88,88,51-100 feet,850,243000,1958,1950-1959,2016F,1118653,1118653,454337,23320,,,,,
Glendo Dike No. 2,,,WY01486,S002,WY01291S002,RECLAMATION,Federal,Federal,0,Yes,I.J. MATTHEWS,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Hydroelectric,Bureau of Reclamation,,42.471,-104.989,Wyoming,Platte,"CASSO, GUERNSEY",17,NORTH PLATTE RIVER OFFSTREAM,"Wyoming, Congressional District 00",Yes,Yes,SEO,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Earth,Rock;Soil,45,29,57,57,51-100 feet,580,243000,1958,1950-1959,2016F,1118653,1118653,454337,23320,,,,,
Glendo,,,WY01291,,WY01291,RECLAMATION,Federal,Federal,3,No,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric,Bureau of Reclamation,,42.4771,-104.9509,Wyoming,Platte,CASSO,0,NORTH PLATTE RIVER,"Wyoming, Congressional District 00",Yes,Yes,SEO,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Bituminous Concrete,Rock,,145,190,190,Greater than 100 feet,2096,2676000,1958,1950-1959,2016S,1118653,1118653,454337,23320,,,,,
Cooper Dev -  North Dike                                         ,Pinopolis North Dike,,SC01076,S003,SC01076S003,South Carolina Public Service Authority,State,State,4,Yes,Harza Engineering Company,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,00199-02-04,33.3969,-80.0346,South Carolina,Berkeley,Russelville                                       ,0,Cooper                        ,"South Carolina, Congressional District 01",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,15,14,14,15,Less than 25 feet,33264,,1942,1940-1949,,1110000,110000,1110000,60000,,,,,
Cooper Dev -  East Dike                                          ,Pinopolis East Dike,,SC01076,S002,SC01076S002,South Carolina Public Service Authority,State,State,4,Yes,Harza Engineering Company,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,00199-02-03,33.3643,-79.9704,South Carolina,Berkeley,Russelville                                       ,0,Cooper                        ,"South Carolina, Congressional District 01",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,25,36,36,36,25-50 feet,30624,,1942,1940-1949,,1110000,110000,1110000,60000,,,,,
Cooper Dev -  West Dike,Pinopolis West Dike,,SC01076,S001,SC01076S001,South Carolina Public Service Authority,State,State,4,Yes,Harza Engineering Company,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,00199-02-02,33.2652,-80.1025,South Carolina,Berkeley,Moncks Corner                                     ,0,Cooper                        ,"South Carolina, Congressional District 01",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,25,24,24,25,25-50 feet,51216,,1942,1940-1949,,1110000,110000,1110000,60000,,,,,
Cooper Dev - Pinopolis Dam,,,SC01076,,SC01076,South Carolina Public Service Authority,State,State,4,No,Harza Engineering Company,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,00199-02-01,33.2437,-79.9924,South Carolina,Berkeley,Moncks Corner                                     ,0,Cooper                        ,"South Carolina, Congressional District 01",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth;Concrete,Earth,Soil,75,88,138,138,Greater than 100 feet,50072,,1942,1940-1949,,1110000,110000,1110000,60000,,,,,
Exchequer Main,,,CA00240,,CA00240,Merced Irrigation District,Public Utility,Public Utility,2,No,,No,Hydroelectric,"Hydroelectric;Fire Protection, Stock, Or Small Fish Pond;Irrigation;Fish and Wildlife Pond;Recreation;Flood Risk Reduction",Federal Energy Regulatory Commission,02179-02-01,37.585,-120.2702,California,Mariposa,Snelling                                          ,15,Merced River                  ,"California, Congressional District 05",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Rockfill,Rockfill;Earth,Concrete,Unlisted/Unknown,490,437,,490,Greater than 100 feet,1220,,1966,1960-1969,,1100000,1100000,1024600,7110,,,,,
Neenah,,,WI00647,,WI00647,Neenah Paper,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction;Recreation,Wisconsin,601,44.1861061,-88.4564297,Wisconsin,Winnebago,NEENAH,0,FOX R,"Wisconsin, Congressional District 06",Yes,Yes,WIDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Gravity,Gravity;Rockfill;Earth,,,15,9,15,15,Less than 25 feet,650,,1881,Before 1900,1922O,1100000,1100000,700000,137708,,,,,
Exchequer Dike,,,CA00240,S001,CA00240S001,Merced Irrigation District,Public Utility,Public Utility,2,Yes,,No,Hydroelectric,"Hydroelectric;Fire Protection, Stock, Or Small Fish Pond;Irrigation;Fish and Wildlife Pond;Recreation;Flood Risk Reduction",Federal Energy Regulatory Commission,02179-02-02,37.5942,-120.2763,California,Mariposa,Snelling,15,Merced River                  ,"California, Congressional District 05",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Rockfill,Rockfill;Earth,Unlisted/Unknown,Unlisted/Unknown,62,,97,97,51-100 feet,2200,,1966,1960-1969,,1100000,1100000,1024600,7110,,,,,
Choke Canyon,,,TX04425,,TX04425,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Other,Other;Recreation;Water Supply,Bureau of Reclamation,,28.4825,-98.2432,Texas,Live Oak,THREE RIVERS,4,FRIO RIVER,"Texas, Congressional District 15",No,No, ,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Concrete,Soil,116,106,141,141,Greater than 100 feet,18504,6020930,1982,1980-1989,,1096261,1096261,714117,25733,,,,,
Pine Flat Dam,Pine Flat Lake,,CA10112,,CA10112,USACE - Sacramento District,Federal,Federal,0,No,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric,US Army Corps of Engineers,CA10112,36.83265291,-119.3256138,California,Fresno,SANGER,16,KINGS RIVER,"California, Congressional District 20",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Gravity,Gravity,,Rock,412,424,440,440,Greater than 100 feet,1840,0,1954,1950-1959,,1091700,1091700,772300,5970,,,,,
Twin Buttes,,,TX00022,,TX00022,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation,Bureau of Reclamation,,31.3656,-100.5284,Texas,Tom Green,SAN ANGELO,1,"MID & SO CONCHO RIV, SPRING CR","Texas, Congressional District 11",No,No, ,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,134,122,134,134,Greater than 100 feet,42460,21442000,1962,1960-1969,1999H;1999O;1999S,1087530,1087530,186210,23508,,,,,
Moosehead - West Outlet                                          ,Moosehead Lake West Dam,,ME00092,S001,ME00091S001,Kennebec Water Power Company,Public Utility,Public Utility,2,Yes,,No,Hydroelectric,Hydroelectric;Recreation;Water Supply;Flood Risk Reduction,Federal Energy Regulatory Commission,02671-01-02,45.6519,-69.7426,Maine,Somerset,The Forks                                         ,29,Kennebec River                ,"Maine, Congressional District 02",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Earth;Gravity,,,20,,,20,Less than 25 feet,830,,1835,Before 1900,,1080000,1080000,1080000,74200,,,,,
Moosehead - East Outlet                                          ,Moosehead Lake East Dam,,ME00091,,ME00091,Kennebec Water Power Company,Public Utility,Public Utility,2,No,,No,Hydroelectric,Hydroelectric;Recreation;Water Supply;Flood Risk Reduction,Federal Energy Regulatory Commission,02671-01-01,45.5859,-69.7147,Maine,Somerset,The Forks                                         ,24,Kennebec River                ,"Maine, Congressional District 02",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Earth;Gravity,,,26,,,26,25-50 feet,1004,,1835,Before 1900,,1080000,1080000,1080000,74200,,,,,
